ID	age	education-num	work-class	marital-status	occupation	race	sex	native-country
e10001	Age	K-12	Private	Married	Machine-op-inspct	Race	Female	Country
e10002	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10003	Age	K-12	Local-gov	Not-married	Craft-repair	Race	Male	Country
e10004	Age	Higher-education	Private	Not-married	Other-service	Race	Female	Country
e10005	Age	Higher-education	Federal-gov	Married	Prof-specialty	Race	Male	Country
e10006	Age	K-12	Self-emp-not-inc	Not-married	Farming-fishing	Race	Male	Country
e10007	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Female	Country
e10008	Age	Higher-education	Private	Not-married	Sales	Race	Female	Country
e10009	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10010	Age	Higher-education	Private	Married	Tech-support	Race	Male	Country
e10011	Age	K-12	Self-emp-inc	Not-married	Adm-clerical	Race	Female	Country
e10012	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10013	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10014	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10015	Age	Higher-education	Self-emp-inc	Married	Sales	Race	Male	Country
e10016	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10017	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10018	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10019	Age	K-12	Self-emp-not-inc	Married	Craft-repair	Race	Male	Country
e10020	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10021	Age	Higher-education	Self-emp-inc	Not-married	Exec-managerial	Race	Male	Country
e10022	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10023	Age	K-12	Private	Married	Sales	Race	Male	Country
e10024	Age	K-12	Private	Married	Adm-clerical	Race	Female	Country
e10025	Age	K-12	State-gov	Not-married	Prof-specialty	Race	Female	Country
e10026	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10027	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Female	Country
e10028	Age	K-12	State-gov	Married	Prof-specialty	Race	Male	Country
e10029	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10030	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10031	Age	K-12	Private	Not-married	Craft-repair	Race	Female	Country
e10032	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10033	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10034	Age	Higher-education	Self-emp-inc	Married	Exec-managerial	Race	Male	Country
e10035	Age	K-12	Private	Married	Other-service	Race	Female	Country
e10036	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10037	Age	K-12	State-gov	Not-married	Adm-clerical	Race	Female	Country
e10038	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10039	Age	K-12	Federal-gov	Not-married	Prof-specialty	Race	Female	Country
e10040	Age	K-12	Private	Married	Tech-support	Race	Female	Country
e10041	Age	K-12	Private	Married	Sales	Race	Male	Country
e10042	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10043	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10044	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10045	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10046	Age	K-12	Private	Married	Sales	Race	Male	Country
e10047	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Female	Country
e10048	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10049	Age	Higher-education	Local-gov	Not-married	Prof-specialty	Race	Female	Country
e10050	Age	K-12	Self-emp-not-inc	Married	Transport-moving	Race	Male	Country
e10051	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10052	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10053	Age	K-12	Self-emp-inc	Not-married	Adm-clerical	Race	Female	Country
e10054	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10055	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10056	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Male	Country
e10057	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10058	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10059	Age	K-12	Federal-gov	Married	Adm-clerical	Race	Male	Country
e10060	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10061	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10062	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Female	Country
e10063	Age	K-12	Self-emp-inc	Not-married	Sales	Race	Female	Country
e10064	Age	Higher-education	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10065	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10066	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10067	Age	K-12	Private	Married	Exec-managerial	Race	Female	Country
e10068	Age	K-12	State-gov	Married	Exec-managerial	Race	Male	Country
e10069	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Male	Country
e10070	Age	K-12	State-gov	Married	Protective-serv	Race	Male	Country
e10071	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10072	Age	Higher-education	Local-gov	Not-married	Prof-specialty	Race	Female	Country
e10073	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10074	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10075	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10076	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10077	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10078	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10079	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10080	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10081	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10082	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10083	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10084	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10085	Age	K-12	Private	Married	Sales	Race	Male	Country
e10086	Age	K-12	Local-gov	Married	Exec-managerial	Race	Male	Country
e10087	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10088	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10089	Age	Higher-education	Private	Not-married	Sales	Race	Female	Country
e10090	Age	Higher-education	Self-emp-inc	Married	Exec-managerial	Race	Male	Country
e10091	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10092	Age	Higher-education	Local-gov	Married	Prof-specialty	Race	Male	Country
e10093	Age	K-12	Private	Married	Sales	Race	Male	Country
e10094	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10095	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10096	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10097	Age	K-12	Private	Not-married	Tech-support	Race	Female	Country
e10098	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10099	Age	K-12	Private	Married	Exec-managerial	Race	Female	Country
e10100	Age	K-12	Private	Married	Sales	Race	Male	Country
e10101	Age	Higher-education	Private	Married	Prof-specialty	Race	Male	Country
e10102	Age	K-12	Private	Married	Sales	Race	Male	Country
e10103	Age	K-12	Self-emp-not-inc	Not-married	Other-service	Race	Female	Country
e10104	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10105	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10106	Age	Higher-education	Local-gov	Married	Protective-serv	Race	Male	Country
e10107	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10108	Age	K-12	Private	Not-married	Farming-fishing	Race	Male	Country
e10109	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10110	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10111	Age	K-12	Private	Married	Sales	Race	Male	Country
e10112	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10113	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10114	Age	Higher-education	Private	Not-married	Other-service	Race	Female	Country
